"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","SMOKERS","TOT","PC_POP15","A","2004",25,
"GBR","SMOKERS","TOT","PC_POP15","A","2005",24,
"GBR","SMOKERS","TOT","PC_POP15","A","2006",22,
"GBR","SMOKERS","TOT","PC_POP15","A","2007",21,
"GBR","SMOKERS","TOT","PC_POP15","A","2008",21,
"GBR","SMOKERS","TOT","PC_POP15","A","2009",21,
"GBR","SMOKERS","TOT","PC_POP15","A","2010",20,
"GBR","SMOKERS","TOT","PC_POP15","A","2011",20,
"GBR","SMOKERS","TOT","PC_POP15","A","2012",20,
"GBR","SMOKERS","TOT","PC_POP15","A","2013",19,
"GBR","SMOKERS","TOT","PC_POP15","A","2014",19,
"USA","SMOKERS","TOT","PC_POP15","A","1985",30.1,
"USA","SMOKERS","TOT","PC_POP15","A","1987",28.8,
"USA","SMOKERS","TOT","PC_POP15","A","1988",28.1,
"USA","SMOKERS","TOT","PC_POP15","A","1990",25.5,
"USA","SMOKERS","TOT","PC_POP15","A","1991",22.1,"B"
"USA","SMOKERS","TOT","PC_POP15","A","1992",22.3,
"USA","SMOKERS","TOT","PC_POP15","A","1993",20.4,
"USA","SMOKERS","TOT","PC_POP15","A","1994",21,
"USA","SMOKERS","TOT","PC_POP15","A","1995",20,
"USA","SMOKERS","TOT","PC_POP15","A","1997",20.3,
"USA","SMOKERS","TOT","PC_POP15","A","1998",19.9,
"USA","SMOKERS","TOT","PC_POP15","A","1999",19.2,
"USA","SMOKERS","TOT","PC_POP15","A","2000",19.1,
"USA","SMOKERS","TOT","PC_POP15","A","2001",18.7,
"USA","SMOKERS","TOT","PC_POP15","A","2002",18.4,
"USA","SMOKERS","TOT","PC_POP15","A","2003",17.5,
"USA","SMOKERS","TOT","PC_POP15","A","2004",17,
"USA","SMOKERS","TOT","PC_POP15","A","2005",16.9,
"USA","SMOKERS","TOT","PC_POP15","A","2006",16.7,
"USA","SMOKERS","TOT","PC_POP15","A","2007",15.4,
"USA","SMOKERS","TOT","PC_POP15","A","2008",16.5,
"USA","SMOKERS","TOT","PC_POP15","A","2009",16.1,
"USA","SMOKERS","TOT","PC_POP15","A","2010",15.1,
"USA","SMOKERS","TOT","PC_POP15","A","2011",14.8,
"USA","SMOKERS","TOT","PC_POP15","A","2012",14.2,
"USA","SMOKERS","TOT","PC_POP15","A","2013",13.7,
"USA","SMOKERS","TOT","PC_POP15","A","2014",12.9,
"BRA","SMOKERS","TOT","PC_POP15","A","2003",17.6,
"BRA","SMOKERS","TOT","PC_POP15","A","2006",15.7,
"BRA","SMOKERS","TOT","PC_POP15","A","2007",15.6,
"BRA","SMOKERS","TOT","PC_POP15","A","2008",14.8,
"BRA","SMOKERS","TOT","PC_POP15","A","2009",14.3,
"BRA","SMOKERS","TOT","PC_POP15","A","2010",14.1,
"BRA","SMOKERS","TOT","PC_POP15","A","2011",13.4,
"BRA","SMOKERS","TOT","PC_POP15","A","2012",12.1,
"BRA","SMOKERS","TOT","PC_POP15","A","2013",11.3,
"BRA","SMOKERS","TOT","PC_POP15","A","2014",8.7,"D"
"CHL","SMOKERS","TOT","PC_POP15","A","2003",33,
"CHL","SMOKERS","TOT","PC_POP15","A","2009",29.8,
"CHN","SMOKERS","TOT","PC_POP15","A","2000",29.7,
"CHN","SMOKERS","TOT","PC_POP15","A","2005",27.9,
"CHN","SMOKERS","TOT","PC_POP15","A","2009",26.5,
"CHN","SMOKERS","TOT","PC_POP15","A","2010",26.2,
"CHN","SMOKERS","TOT","PC_POP15","A","2012",25.5,
"EST","SMOKERS","TOT","PC_POP15","A","1990",27.5,
"EST","SMOKERS","TOT","PC_POP15","A","1992",30.9,
"EST","SMOKERS","TOT","PC_POP15","A","1994",33.5,
"EST","SMOKERS","TOT","PC_POP15","A","1996",31.9,
"EST","SMOKERS","TOT","PC_POP15","A","1998",29.7,
"EST","SMOKERS","TOT","PC_POP15","A","2000",30.3,
"EST","SMOKERS","TOT","PC_POP15","A","2002",28.3,
"EST","SMOKERS","TOT","PC_POP15","A","2004",32.8,
"EST","SMOKERS","TOT","PC_POP15","A","2006",27.8,
"EST","SMOKERS","TOT","PC_POP15","A","2008",26.2,
"EST","SMOKERS","TOT","PC_POP15","A","2010",26.2,
"EST","SMOKERS","TOT","PC_POP15","A","2012",26,
"EST","SMOKERS","TOT","PC_POP15","A","2014",22.1,
"IND","SMOKERS","TOT","PC_POP15","A","2000",21.6,
"IND","SMOKERS","TOT","PC_POP15","A","2005",17.1,
"IND","SMOKERS","TOT","PC_POP15","A","2010",13.7,
"IND","SMOKERS","TOT","PC_POP15","A","2012",12.6,
"IDN","SMOKERS","TOT","PC_POP15","A","2000",31.1,
"IDN","SMOKERS","TOT","PC_POP15","A","2005",33.5,
"IDN","SMOKERS","TOT","PC_POP15","A","2010",36.3,
"IDN","SMOKERS","TOT","PC_POP15","A","2012",37.9,
"ISR","SMOKERS","TOT","PC_POP15","A","1996",24.5,
"ISR","SMOKERS","TOT","PC_POP15","A","2000",24.1,
"ISR","SMOKERS","TOT","PC_POP15","A","2002",21.9,"B"
"ISR","SMOKERS","TOT","PC_POP15","A","2004",21.6,
"ISR","SMOKERS","TOT","PC_POP15","A","2006",19.5,
"ISR","SMOKERS","TOT","PC_POP15","A","2008",18.7,
"ISR","SMOKERS","TOT","PC_POP15","A","2010",18.5,
"ISR","SMOKERS","TOT","PC_POP15","A","2013",16.2,
"ISR","SMOKERS","TOT","PC_POP15","A","2014",17.1,
"RUS","SMOKERS","TOT","PC_POP15","A","1991",30,
"RUS","SMOKERS","TOT","PC_POP15","A","1998",33.9,
"RUS","SMOKERS","TOT","PC_POP15","A","2000",34.9,
"RUS","SMOKERS","TOT","PC_POP15","A","2001",35.1,
"RUS","SMOKERS","TOT","PC_POP15","A","2004",35.8,
"RUS","SMOKERS","TOT","PC_POP15","A","2009",39.4,"B"
"SVN","SMOKERS","TOT","PC_POP15","A","2001",22.4,
"SVN","SMOKERS","TOT","PC_POP15","A","2007",18.9,
"SVN","SMOKERS","TOT","PC_POP15","A","2014",18.9,
"ZAF","SMOKERS","TOT","PC_POP15","A","2000",23.9,
"ZAF","SMOKERS","TOT","PC_POP15","A","2005",22,
"ZAF","SMOKERS","TOT","PC_POP15","A","2010",20.3,
"ZAF","SMOKERS","TOT","PC_POP15","A","2012",19.8,
"COL","SMOKERS","TOT","PC_POP15","A","2008",17.1,
"COL","SMOKERS","TOT","PC_POP15","A","2013",16.2,
"LVA","SMOKERS","TOT","PC_POP15","A","2008",27.9,
"LVA","SMOKERS","TOT","PC_POP15","A","2014",24.1,
"LTU","SMOKERS","TOT","PC_POP15","A","2005",24.5,
"LTU","SMOKERS","TOT","PC_POP15","A","2014",20.4,
"CRI","SMOKERS","TOT","PC_POP15","A","2000",20.8,
"CRI","SMOKERS","TOT","PC_POP15","A","2005",17.7,
"CRI","SMOKERS","TOT","PC_POP15","A","2010",15.4,
"CRI","SMOKERS","TOT","PC_POP15","A","2012",14.5,
